squeue -u zuimran
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          18119137      GPUQ zc-1661b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119136      GPUQ zc-836e7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119135      GPUQ zc-f149b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119134      GPUQ zc-52c95  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119133      GPUQ zc-99483  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119132      GPUQ zc-313c3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119131      GPUQ zc-8ed03  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119130      GPUQ zc-04789  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119129      GPUQ zc-e7c1d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119128      GPUQ zc-86832  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119127      GPUQ zc-33968  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119126      GPUQ zc-b1e1d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119125      GPUQ zc-390bb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119124      GPUQ zc-034f8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119123      GPUQ zc-4908d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119122      GPUQ zc-ace5f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119121      GPUQ zc-4e6fc  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119120      GPUQ zc-91aaf  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119119      GPUQ zc-9b5e7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119118      GPUQ zc-4340e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119117      GPUQ zc-23e99  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119116      GPUQ zc-c6a4c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119115      GPUQ zc-c492e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119114      GPUQ zc-80fee  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119113      GPUQ zc-efa3e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119112      GPUQ zc-b24c6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119111      GPUQ zc-4f75a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119110      GPUQ zc-4625f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119109      GPUQ zc-d2b98  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119108      GPUQ zc-f0432  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119107      GPUQ zc-c0534  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
